ID,Handle,Command,Title,Metafield: custom.product_collections [list.single_line_text_field]
8940217762023,emma-skirt-4,MERGE,Emma Skirt,"[""Skirts"",""Bottoms"",""Knitwear"",""Knitwear Bottoms""]"
8940218712295,ls-raglan-sweatshirt-2,MERGE,Long Sleeve Raglan Sweatshirt,"[""Sweatshirts"",""Lounge"",""Lounge Tops""]"
8940218876135,high-rise-legging,MERGE,High Rise Legging,"[""Leggings"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940217663719,emma-skirt-2,MERGE,Emma Skirt,"[""Skirts"",""Bottoms"",""Knitwear"",""Knitwear Bottoms""]"
8940219203815,square-neck-maxi-dress,MERGE,Square Neck Maxi Dress,"[""Dresses"",""Maxi""]"
8940219334887,square-neck-maxi-dress-1,MERGE,Square Neck Maxi Dress,"[""Dresses"",""Maxi""]"
8940218941671,boy-short,MERGE,High Waisted Boy Short,"[""Shorts"",""Intimates"",""Lounge""]"
8940219072743,sports-bra,MERGE,Sports Bra,"[""Intimates"",""Bras"",""Lounge""]"
8940219433191,square-neck-maxi-dress-2,MERGE,Square Neck Maxi Dress,
8940219531495,square-neck-mini-dress-black,MERGE,Square Neck Mini Dress,"[""Dresses"",""Mini""]"
8940219695335,square-neck-mini-dress-cream,MERGE,Square Neck Mini Dress,"[""Dresses"",""Mini""]"
8940219859175,square-neck-mini-dress-2,MERGE,Square Neck Mini Dress,
8940220023015,henley-onesie,MERGE,Henley Onesie,"[""Lounge""]"
8940220448999,cropped-half-zip-sweatshirt,MERGE,Cropped Half-Zip Sweatshirt,"[""Sweatshirts"",""Lounge"",""Lounge Tops"",""Tops""]"
8940220252391,ls-raglan-sweatshirt-3,MERGE,Long Sleeve Raglan Sweatshirt,
8940220580071,cropped-half-zip-sweatshirt-1,MERGE,Cropped Half-Zip Sweatshirt,"[""Sweatshirts"",""Lounge"",""Lounge Tops"",""Tops""]"
8940220743911,cropped-half-zip-sweatshirt-2,MERGE,Cropped Half-Zip Sweatshirt,"[""Sweatshirts"",""Lounge"",""Lounge Tops"",""Tops""]"
8940221235431,willa,MERGE,WILLA CASHMERE BRA,
8940221104359,brady-1,MERGE,BRADY SWEATER,"[""Sweaters"",""Knitwear"",""Knitwear Tops""]"
