"ID","Handle","Command","Title","Status"
"8940224184551","tank-maxi-dress","MERGE","Tank Maxi Dress","Draft"
"8940224282855","long-sleeve-crewneck-mini-dress","MERGE","Long Sleeve Crewneck Mini Dress","Draft"
"8940224381159","long-sleeve-crewneck-maxi-dress","MERGE","Long Sleeve Crewneck Maxi Dress","Draft"
"8940224479463","high-neck-fitted-tank-4","MERGE","High Neck Fitted Tank","Draft"
"8940224839911","emma-skirt-8","MERGE","Emma Skirt","Draft"
"8940225593575","short-sleeve-baby-tee-clay","MERGE","Short Sleeve Baby Tee","Draft"
"8940225659111","lounge-pant-clay","MERGE","Lounge Pant","Draft"
"8940226183399","terry-boyfriend-short-4","MERGE","TERRY BOYFRIEND SHORT","Draft"
"8940226707687","loose-tank","MERGE","Loose Tank","Draft"
"8940226773223","loose-tank-1","MERGE","Loose Tank","Draft"
"8940226871527","loose-tank-2","MERGE","Loose Tank","Draft"
"8940226969831","loose-tank-3","MERGE","Loose Tank","Draft"
"8940227068135","halter-mini-dress","MERGE","Halter Mini Dress","Draft"
"8940227231975","halter-mini-dress-1","MERGE","Halter Mini Dress","Draft"
"8940227821799","high-neck-fitted-tank-5","MERGE","High Neck Fitted Tank","Draft"
"8940228542695","tube-maxi-dress-2","MERGE","TUBE MAXI DRESS","Draft"
"8940228804839","drawstring-short-heather-grey","MERGE","DRAWSTRING SHORT","Draft"
"8940187025639","cropped-long-sleeve-thermal-ivory","MERGE","Cropped Long Sleeve Thermal","Draft"
"8940187877607","short-biker","MERGE","Short Biker","Draft"
"8940187975911","long-biker","MERGE","Long Biker","Draft"
"8940188041447","bandeau-bra","MERGE","Bandeau Bra","Draft"
"8940189352167","eterne-mask","MERGE","Éterne Mask","Draft"
"8940189614311","turtleneck-bodysuit","MERGE","Sleeveless Turtleneck Bodysuit","Draft"
"8940189745383","halter-bodysuit-ivory","MERGE","Halter Bodysuit","Draft"
"8940189810919","halter-bodysuit-black","MERGE","Halter Bodysuit","Draft"
"8940190204135","cropped-ribbed-turtleneck-ivory","MERGE","Cropped Rib Turtleneck","Draft"
